CUST_NO,X,Y,DEMAND,READY_TIME,DUE_DATE,SERVICE_TIME
1,52.0,75.0,10,71,711,90
2,45.0,70.0,30,20,660,90
3,62.0,69.0,10,927,1567,90
4,60.0,66.0,10,1021,1661,90
5,42.0,65.0,10,15,655,90
6,16.0,42.0,20,257,897,90
7,58.0,70.0,20,833,1473,90
8,34.0,60.0,20,2647,3287,90
9,28.0,70.0,10,2361,3001,90
10,35.0,66.0,10,2551,3191,90
11,35.0,69.0,10,2458,3098,90
12,25.0,85.0,20,1879,2519,90
13,22.0,75.0,30,2165,2805,90
14,22.0,85.0,10,1786,2426,90
15,20.0,80.0,40,1976,2616,90
16,20.0,85.0,40,1694,2334,90
17,18.0,75.0,20,2071,2711,90
18,15.0,75.0,20,1502,2142,90
19,15.0,80.0,10,1597,2237,90
20,30.0,50.0,10,10,650,90
21,30.0,56.0,20,2648,3288,90
22,28.0,52.0,20,12,652,90
23,14.0,66.0,10,1403,2043,90
24,25.0,50.0,10,15,655,90
25,22.0,66.0,40,2264,2904,90
26,8.0,62.0,10,1305,1945,90
27,23.0,52.0,10,17,657,90
28,4.0,55.0,20,1207,1847,90
29,20.0,50.0,10,158,798,90
30,20.0,55.0,10,63,703,90
31,10.0,35.0,20,541,1181,90
32,10.0,40.0,30,353,993,90
33,8.0,40.0,40,445,1085,90
34,8.0,45.0,20,1106,1746,90
35,5.0,35.0,10,636,1276,90
36,5.0,45.0,10,1013,1653,90
37,2.0,40.0,20,731,1371,90
38,0.0,40.0,30,823,1463,90
39,0.0,45.0,20,918,1558,90
40,36.0,18.0,10,1579,2219,90
41,35.0,32.0,10,2518,3158,90
42,33.0,32.0,20,2426,3066,90
43,33.0,35.0,10,2333,2973,90
44,32.0,20.0,10,1673,2313,90
45,30.0,30.0,10,1865,2505,90
46,34.0,25.0,30,1769,2409,90
47,30.0,35.0,10,2240,2880,90
48,36.0,40.0,10,2616,3256,90
49,48.0,20.0,10,727,1367,90
50,26.0,32.0,10,2052,2692,90
51,25.0,30.0,10,1960,2600,90
52,25.0,35.0,10,2145,2785,90
53,44.0,5.0,20,1016,1656,90
54,42.0,10.0,40,920,1560,90
55,42.0,15.0,10,825,1465,90
56,40.0,5.0,30,1110,1750,90
57,38.0,15.0,40,1485,2125,90
58,38.0,5.0,30,1202,1842,90
59,38.0,10.0,10,1390,2030,90
60,35.0,5.0,20,1295,1935,90
61,50.0,30.0,10,161,801,90
62,50.0,35.0,20,18,658,90
63,50.0,40.0,50,14,654,90
64,48.0,30.0,10,253,893,90
65,44.0,25.0,10,631,1271,90
66,47.0,35.0,10,348,988,90
67,47.0,40.0,10,12,652,90
68,42.0,30.0,10,536,1176,90
69,45.0,35.0,10,440,1080,90
70,95.0,30.0,30,2081,2721,90
71,95.0,35.0,20,1986,2626,90
72,53.0,30.0,10,68,708,90
73,92.0,30.0,10,2174,2814,90
74,53.0,35.0,50,19,659,90
75,45.0,65.0,20,15,655,90
76,90.0,35.0,10,1891,2531,90
77,72.0,45.0,10,2627,3267,90
78,78.0,40.0,20,2562,3202,90
79,87.0,30.0,10,2368,3008,90
80,85.0,25.0,10,2273,2913,90
81,85.0,35.0,30,2463,3103,90
82,75.0,55.0,20,1685,2325,90
83,72.0,55.0,10,1592,2232,90
84,70.0,58.0,20,1401,2041,90
85,86.0,46.0,30,1789,2429,90
86,66.0,55.0,10,1496,2136,90
87,64.0,46.0,20,2635,3275,90
88,65.0,60.0,30,1306,1946,90
89,56.0,64.0,10,1115,1755,90
90,60.0,55.0,10,2639,3279,90
91,60.0,60.0,10,1211,1851,90
92,67.0,85.0,20,454,1094,90
93,42.0,58.0,40,8,648,90
94,65.0,82.0,10,548,1188,90
95,62.0,80.0,30,641,1281,90
96,62.0,40.0,10,2635,3275,90
97,60.0,85.0,30,357,997,90
98,58.0,75.0,20,738,1378,90
99,55.0,80.0,10,167,807,90
100,55.0,85.0,20,262,902,90
