CUST_NO,X,Y,DEMAND,READY_TIME,DUE_DATE,SERVICE_TIME
1,41.0,49.0,10,0,204,10
2,35.0,17.0,7,0,202,10
3,55.0,45.0,13,0,197,10
4,55.0,20.0,19,139,169,10
5,15.0,30.0,26,0,199,10
6,25.0,30.0,3,89,119,10
7,20.0,50.0,5,0,198,10
8,10.0,43.0,9,85,115,10
9,55.0,60.0,16,87,117,10
10,30.0,60.0,16,114,144,10
11,20.0,65.0,12,57,87,10
12,50.0,35.0,19,0,205,10
13,30.0,25.0,23,149,179,10
14,15.0,10.0,20,32,62,10
15,30.0,5.0,8,51,81,10
16,10.0,20.0,19,65,95,10
17,5.0,30.0,2,147,177,10
18,20.0,40.0,12,77,107,10
19,15.0,60.0,17,66,96,10
20,45.0,65.0,9,116,146,10
21,45.0,20.0,11,0,201,10
22,45.0,10.0,18,87,117,10
23,55.0,5.0,29,58,88,10
24,65.0,35.0,3,143,173,10
25,65.0,20.0,6,156,186,10
26,45.0,30.0,17,0,208,10
27,35.0,40.0,16,27,57,10
28,41.0,37.0,16,29,59,10
29,64.0,42.0,9,53,83,10
30,40.0,60.0,21,61,91,10
31,31.0,52.0,27,0,202,10
32,35.0,69.0,23,131,161,10
33,53.0,52.0,11,27,57,10
34,65.0,55.0,14,0,183,10
35,63.0,65.0,8,133,163,10
36,2.0,60.0,5,41,71,10
37,20.0,20.0,8,0,198,10
38,5.0,5.0,16,73,103,10
39,60.0,12.0,31,34,64,10
40,40.0,25.0,9,75,105,10
41,42.0,7.0,5,87,117,10
42,24.0,12.0,5,25,55,10
43,23.0,3.0,7,122,152,10
44,11.0,14.0,18,59,89,10
45,6.0,38.0,16,29,59,10
46,2.0,48.0,1,107,137,10
47,8.0,56.0,27,41,71,10
48,13.0,52.0,36,0,192,10
49,6.0,68.0,30,98,128,10
50,47.0,47.0,13,0,203,10
51,49.0,58.0,10,78,108,10
52,27.0,43.0,9,0,208,10
53,37.0,31.0,14,85,115,10
54,57.0,29.0,18,130,160,10
55,63.0,23.0,2,126,156,10
56,53.0,12.0,6,120,150,10
57,32.0,12.0,7,91,121,10
58,36.0,26.0,18,180,210,10
59,21.0,24.0,28,0,202,10
60,17.0,34.0,3,152,182,10
61,12.0,24.0,13,66,96,10
62,24.0,58.0,19,48,78,10
63,27.0,69.0,10,34,64,10
64,15.0,77.0,9,63,93,10
65,62.0,77.0,20,49,79,10
66,49.0,73.0,25,117,147,10
67,67.0,5.0,25,73,103,10
68,56.0,39.0,36,132,162,10
69,37.0,47.0,6,40,70,10
70,37.0,56.0,5,168,198,10
71,57.0,68.0,15,67,97,10
72,47.0,16.0,25,0,197,10
73,44.0,17.0,9,68,98,10
74,46.0,13.0,8,139,169,10
75,49.0,11.0,18,0,192,10
76,49.0,42.0,13,63,93,10
77,53.0,43.0,14,169,199,10
78,61.0,52.0,3,86,116,10
79,57.0,48.0,23,82,112,10
80,56.0,37.0,6,168,198,10
81,55.0,54.0,26,84,114,10
82,15.0,47.0,16,0,196,10
83,14.0,37.0,11,0,198,10
84,11.0,31.0,7,91,121,10
85,16.0,22.0,41,0,196,10
86,4.0,18.0,35,84,114,10
87,28.0,18.0,26,83,113,10
88,26.0,52.0,9,64,94,10
89,26.0,35.0,15,166,196,10
90,31.0,67.0,3,85,115,10
91,15.0,19.0,1,0,194,10
92,22.0,22.0,2,18,48,10
93,18.0,24.0,22,169,199,10
94,26.0,27.0,27,0,207,10
95,25.0,24.0,20,0,205,10
96,22.0,27.0,11,0,204,10
97,25.0,21.0,12,123,153,10
98,19.0,21.0,10,0,198,10
99,20.0,26.0,9,73,103,10
100,18.0,18.0,17,165,195,10
