CUST_NO,X,Y,DEMAND,READY_TIME,DUE_DATE,SERVICE_TIME
1,25.0,85.0,20,0,911,10
2,22.0,75.0,30,0,919,10
3,22.0,85.0,10,0,910,10
4,20.0,80.0,40,644,764,10
5,20.0,85.0,20,0,909,10
6,18.0,75.0,20,0,916,10
7,15.0,75.0,20,0,914,10
8,15.0,80.0,10,367,487,10
9,10.0,35.0,20,371,491,10
10,10.0,40.0,30,0,918,10
11,8.0,40.0,40,195,315,10
12,8.0,45.0,20,0,917,10
13,5.0,35.0,10,653,773,10
14,5.0,45.0,10,0,914,10
15,2.0,40.0,20,174,294,10
16,0.0,40.0,20,0,908,10
17,0.0,45.0,20,0,909,10
18,44.0,5.0,20,0,904,10
19,42.0,10.0,40,0,909,10
20,42.0,15.0,10,0,914,10
21,40.0,5.0,10,0,905,10
22,40.0,15.0,40,0,915,10
23,38.0,5.0,30,201,321,10
24,38.0,15.0,10,0,914,10
25,35.0,5.0,20,784,904,10
26,95.0,30.0,30,0,891,10
27,95.0,35.0,20,0,892,10
28,92.0,30.0,10,0,894,10
29,90.0,35.0,10,0,897,10
30,88.0,30.0,10,0,898,10
31,88.0,35.0,20,0,899,10
32,87.0,30.0,10,0,898,10
33,85.0,25.0,10,0,898,10
34,85.0,35.0,30,0,902,10
35,67.0,85.0,20,0,905,10
36,65.0,85.0,40,0,906,10
37,65.0,82.0,10,0,909,10
38,62.0,80.0,30,278,398,10
39,60.0,80.0,10,0,913,10
40,60.0,85.0,30,0,909,10
41,58.0,75.0,20,0,919,10
42,55.0,80.0,10,0,916,10
43,55.0,85.0,20,0,911,10
44,55.0,82.0,10,217,337,10
45,20.0,82.0,10,0,912,10
46,18.0,80.0,10,0,912,10
47,2.0,45.0,10,0,911,10
48,42.0,5.0,10,0,904,10
49,42.0,12.0,10,0,911,10
50,72.0,35.0,30,0,914,10
51,55.0,20.0,19,0,916,10
52,25.0,30.0,3,0,925,10
53,20.0,50.0,5,375,495,10
54,55.0,60.0,16,0,931,10
55,30.0,60.0,16,599,719,10
56,50.0,35.0,19,0,931,10
57,30.0,25.0,23,0,923,10
58,15.0,10.0,20,782,902,10
59,10.0,20.0,19,0,907,10
60,15.0,60.0,17,0,923,10
61,45.0,65.0,9,0,934,10
62,65.0,35.0,3,167,287,10
63,65.0,20.0,6,0,910,10
64,45.0,30.0,17,0,929,10
65,35.0,40.0,16,0,938,10
66,41.0,37.0,16,0,936,10
67,64.0,42.0,9,268,388,10
68,40.0,60.0,21,0,940,10
69,31.0,52.0,27,157,277,10
70,35.0,69.0,23,0,930,10
71,65.0,55.0,14,0,924,10
72,63.0,65.0,8,0,922,10
73,2.0,60.0,5,0,910,10
74,20.0,20.0,8,645,765,10
75,5.0,5.0,16,0,892,10
76,60.0,12.0,31,268,388,10
77,23.0,3.0,7,764,884,10
78,8.0,56.0,27,0,917,10
79,6.0,68.0,30,352,472,10
80,47.0,47.0,13,0,942,10
81,49.0,58.0,10,0,937,10
82,27.0,43.0,9,0,935,10
83,37.0,31.0,14,0,930,10
84,57.0,29.0,18,395,515,10
85,63.0,23.0,2,0,914,10
86,21.0,24.0,28,0,917,10
87,12.0,24.0,13,359,479,10
88,24.0,58.0,19,0,932,10
89,67.0,5.0,25,0,897,10
90,37.0,47.0,6,0,945,10
91,49.0,42.0,13,0,937,10
92,53.0,43.0,14,14,134,10
93,61.0,52.0,3,0,928,10
94,57.0,48.0,23,0,932,10
95,56.0,37.0,6,0,929,10
96,55.0,54.0,26,0,934,10
97,4.0,18.0,35,0,901,10
98,26.0,52.0,9,0,935,10
99,26.0,35.0,15,308,428,10
100,31.0,67.0,3,810,930,10
